"member_casual","rideable_type","day_of_week","total_rides"
"casual","classic_bike",1,158107
"casual","classic_bike",2,103973
"casual","classic_bike",3,95820
"casual","classic_bike",4,98063
"casual","classic_bike",5,113500
"casual","classic_bike",6,122724
"casual","classic_bike",7,196665
"casual","docked_bike",1,35295
"casual","docked_bike",2,22281
"casual","docked_bike",3,17567
"casual","docked_bike",4,17155
"casual","docked_bike",5,19541
"casual","docked_bike",6,23093
"casual","docked_bike",7,40505
"casual","electric_bike",1,194726
"casual","electric_bike",2,150883
"casual","electric_bike",3,149865
"casual","electric_bike",4,158656
"casual","electric_bike",5,175719
"casual","electric_bike",6,188187
"casual","electric_bike",7,235062
"member","classic_bike",1,200997
"member","classic_bike",2,247308
"member","classic_bike",3,268250
"member","classic_bike",4,266202
"member","classic_bike",5,267347
"member","classic_bike",6,231708
"member","classic_bike",7,227226
"member","electric_bike",1,186132
"member","electric_bike",2,225937
"member","electric_bike",3,250258
"member","electric_bike",4,257567
"member","electric_bike",5,264806
"member","electric_bike",6,235277
"member","electric_bike",7,215949
